rahil@rahil-M14xR1:~/Python_Practice$ python socket-mon.py 
"PID","Local address","Remote address","Status"
"2553","10.243.5.122@54934","151.101.65.167@443","ESTABLISHED"
"2553","2601:646:8400:3c08:f9c5:ac93:4d6c:58af@55716","2607:f8b0:4005:809::200e@443","NONE"
"2553","127.0.0.1@51458","127.0.0.1@8000","ESTABLISHED"
"2553","10.243.5.122@56180","192.30.253.124@443","ESTABLISHED"
"2553","2601:646:8400:3c08:f9c5:ac93:4d6c:58af@52866","2607:f8b0:400e:c00::bc@5228","ESTABLISHED"
"2553","2601:646:8400:3c08:f9c5:ac93:4d6c:58af@41806","2607:f8b0:4005:805::2004@443","NONE"
"2553","2601:646:8400:3c08:f9c5:ac93:4d6c:58af@42538","2607:f8b0:4005:809::200e@443","ESTABLISHED"
"2553","10.243.5.122@54652","52.201.104.55@443","ESTABLISHED"
"2553","2601:646:8400:3c08:f9c5:ac93:4d6c:58af@43524","2607:f8b0:4005:807::2003@443","NONE"
"2553","127.0.0.1@51454","127.0.0.1@8000","ESTABLISHED"
"2553","2601:646:8400:3c08:f9c5:ac93:4d6c:58af@50927","2607:f8b0:4005:809::200e@443","NONE"
"2553","2601:646:8400:3c08:f9c5:ac93:4d6c:58af@60523","2607:f8b0:4005:809::2001@443","NONE"
"2553","10.243.5.122@56222","192.30.253.124@443","ESTABLISHED"
"2553","2601:646:8400:3c08:f9c5:ac93:4d6c:58af@53274","2400:cb00:2048:1::6819:396c@443","ESTABLISHED"
"7943","10.243.5.122@60282","10.243.5.226@139","ESTABLISHED"
"9405","127.0.0.1@8000","127.0.0.1@51454","ESTABLISHED"
rahil@rahil-M14xR1:~/Python_Practice$ 
